SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-870693061,12/31/2017 11:09:26 PM,01/04/2018 10:14:12 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,NC,01/04/2018 12:00:00 AM,01/04/2018 10:14:12 AM,Y,N,"1161 N SUNVUE PL, 90012",1161,N,SUNVUE,PL,90012,34.0668569429,-118.250586908,"(34.0668569429, -118.250586908)",634,F,2,East Los Angeles APC,1,Gilbert Cedillo,44,GREATER ECHO PARK ELYSIAN NC,RAMPART
1-870698801,12/31/2017 10:55:00 PM,01/02/2018 05:36:54 PM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,WV,01/02/2018 12:00:00 AM,01/02/2018 05:36:54 PM,Y,N,"11621 N SWINTON AVE, 91344",11621,N,SWINTON,AVE,91344,34.2814353542,-118.485776529,"(34.2814353542, -118.485776529)",501,E,1,North Valley APC,12,Mitchell Englander,4,GRANADA HILLS NORTH NC,DEVONSHIRE
1-870692381,12/31/2017 10:39:19 PM,01/04/2018 03:01:02 PM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,WLA,01/04/2018 12:00:00 AM,01/04/2018 03:01:01 PM,Y,N,"11699 W BROOKHAVEN AVE, 90064",11699,W,BROOKHAVEN,AVE,90064,34.0260000182,-118.44102929,"(34.0260000182, -118.44102929)",672,B,1,West Los Angeles APC,11,Mike Bonin,67,MAR VISTA CC,PACIFIC
1-870692279,12/31/2017 10:38:41 PM,01/02/2018 09:46:13 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,HB,01/02/2018 12:00:00 AM,01/02/2018 09:46:13 PM,Y,,"654 W REDONDO BEACH BLVD, 90247",654,W,REDONDO BEACH,BLVD,90247,33.8924278631,-118.287005635,"(33.8924278631, -118.287005635)",734,B,5,Harbor APC,15,Joe Buscaino,90,HARBOR GATEWAY NORTH NC,SOUTHEAST
1-870692171,12/31/2017 10:31:43 PM,01/03/2018 01:14:01 PM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,NC,01/03/2018 12:00:00 AM,01/03/2018 01:14:00 PM,Y,N,"5212 E RANGE VIEW AVE, 90042",5212,E,RANGE VIEW,AVE,90042,34.123064283,-118.201540117,"(34.123064283, -118.201540117)",595,B,1,East Los Angeles APC,14,Jose Huizar,41,HISTORIC HIGHLAND PARK NC,NORTHEAST
1-870692121,12/31/2017 10:30:43 PM,01/01/2018 01:36:38 PM,SR Created,ITA,Other,Closed,Mobile App,iOS,Y,,,01/01/2018 01:36:38 PM,Y,N,"13317 W HARDING ST, 91340",13317,W,HARDING,ST,91340,34.3009977075,-118.424080457,"(34.3009977075, -118.424080457)",482,C,5,North Valley APC,7,Monica Rodriguez,5,SYLMAR NC,MISSION
1-870686541,12/31/2017 10:29:11 PM,01/03/2018 07:28:15 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,GAP,01/02/2018 07:26:08 AM,01/03/2018 07:28:14 AM,Y,N,"MCDONALD AVE AT ANAHEIM ST, 90744",,,,,90744,33.7794698886,-118.271582213,"(33.7794698886, -118.271582213)",794,D,6,Harbor APC,15,Joe Buscaino,93,WILMINGTON NC,HARBOR
1-870693851,12/31/2017 10:27:29 PM,01/03/2018 07:30:37 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,GAP,01/02/2018 07:29:30 AM,01/03/2018 07:30:36 AM,Y,N,"ISLAND AVE AT ANAHEIM ST, 90744",,,,,90744,33.7797525185,-118.266377115,"(33.7797525185, -118.266377115)",794,E,6,Harbor APC,15,Joe Buscaino,93,WILMINGTON NC,HARBOR
1-870692011,12/31/2017 10:26:08 PM,01/03/2018 07:40:24 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,GAP,01/02/2018 07:39:43 AM,01/03/2018 07:40:23 AM,Y,N,"208 W ANAHEIM ST, 90744",208,W,ANAHEIM,ST,90744,33.7797037945,-118.264154061,"(33.7797037945, -118.264154061)",794,E,6,Harbor APC,15,Joe Buscaino,93,WILMINGTON NC,HARBOR
1-870691901,12/31/2017 10:23:38 PM,01/03/2018 07:37:44 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,GAP,01/02/2018 07:34:28 AM,01/03/2018 07:37:44 AM,Y,N,"944 N FRIGATE AVE, 90744",944,N,FRIGATE,AVE,90744,33.7818611172,-118.2779298,"(33.7818611172, -118.2779298)",794,C,6,Harbor APC,15,Joe Buscaino,93,WILMINGTON NC,HARBOR
1-870682691,12/31/2017 10:11:31 PM,01/04/2018 12:51:55 PM,SR Created,BOS,Electronic Waste,Closed,Self Service,,N,NC,01/04/2018 12:00:00 AM,01/04/2018 12:51:55 PM,Y,N,"2715 W RIVERSIDE DR, 90039",2715,W,RIVERSIDE,DR,90039,34.1088595289,-118.260852264,"(34.1088595289, -118.260852264)",594,D,3,East Los Angeles APC,13,Mitch O'Farrell,38,SILVER LAKE NC,NORTHEAST
