1587407936947,26,Local_Request frequency,200,OK,Local Testing Environment 1-1,text,true,919,5,10,26
1587407936973,18,Local_Request counts,200,OK,Local Testing Environment 1-1,text,true,219,5,10,18
1587407936991,2,Local_Healthcheck,200,OK,Local Testing Environment 1-1,text,true,247,5,10,2
1587407936940,58,Local_Request frequency,200,OK,Local Testing Environment 1-5,text,true,613,5,10,58
1587407936994,17,Local_Base Pins,200,OK,Local Testing Environment 1-1,text,true,219,5,10,17
1587407936971,61,Local_Request frequency,200,OK,Local Testing Environment 1-2,text,true,880,5,10,61
1587407937000,51,Local_Request counts,200,OK,Local Testing Environment 1-5,text,true,219,5,10,51
1587407935901,1157,Local_Time to close,200,OK,Local Testing Environment 1-4,text,true,361,5,10,1157
1587407937011,48,Local_Time to close,200,OK,Local Testing Environment 1-1,text,true,577,5,10,48
1587407936167,901,Local_Request frequency,200,OK,Local Testing Environment 1-3,text,true,475,5,10,901
1587407937033,39,Local_Request counts,200,OK,Local Testing Environment 1-2,text,true,219,5,10,39
1587407937052,21,Local_Healthcheck,200,OK,Local Testing Environment 1-5,text,true,247,5,10,21
1587407937072,3,Local_Healthcheck,200,OK,Local Testing Environment 1-2,text,true,247,5,10,2
1587407937059,34,Local_Request frequency,200,OK,Local Testing Environment 1-1,text,true,953,5,10,34
1587407937093,18,Local_Request counts,200,OK,Local Testing Environment 1-1,text,true,219,5,10,18
1587407937111,3,Local_Healthcheck,200,OK,Local Testing Environment 1-1,text,true,247,5,10,3
1587407937074,59,Local_Base Pins,200,OK,Local Testing Environment 1-5,text,true,1542,5,10,59
1587407937075,74,Local_Base Pins,200,OK,Local Testing Environment 1-2,text,true,1542,5,10,74
1587407937133,41,Local_Time to close,200,OK,Local Testing Environment 1-5,text,true,532,5,10,41
1587407937150,48,Local_Time to close,200,OK,Local Testing Environment 1-2,text,true,570,5,10,48
1587407937174,48,Local_Request frequency,200,OK,Local Testing Environment 1-5,text,true,560,5,10,48
1587407937199,44,Local_Request frequency,200,OK,Local Testing Environment 1-2,text,true,613,5,10,44
1587407937223,35,Local_Request counts,200,OK,Local Testing Environment 1-5,text,true,300,5,10,35
1587407937243,30,Local_Request counts,200,OK,Local Testing Environment 1-2,text,true,300,5,10,30
1587407937258,16,Local_Healthcheck,200,OK,Local Testing Environment 1-5,text,true,247,5,10,16
1587407937274,1,Local_Healthcheck,200,OK,Local Testing Environment 1-2,text,true,247,5,10,1
1587407937115,265,Local_Base Pins,200,OK,Local Testing Environment 1-1,text,true,792358,5,10,263
1587407937381,143,Local_Time to close,200,OK,Local Testing Environment 1-1,text,true,941,5,10,143
1587407937524,111,Local_Request frequency,200,OK,Local Testing Environment 1-1,text,true,691,5,10,111
1587407937069,599,Local_Request counts,200,OK,Local Testing Environment 1-3,text,true,272,5,10,599
1587407937669,3,Local_Healthcheck,200,OK,Local Testing Environment 1-3,text,true,247,5,10,3
1587407937636,76,Local_Request counts,200,OK,Local Testing Environment 1-1,text,true,377,5,10,76
