council_id,council_name,full_name,website,twitter,date_certified,region_id,region_name,centroid,latitude,longitude,data_code
58,Northridge East,Northridge East,http://nenc-la.org/,NENC,2004-11-30T00:00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5171666464766 34.24943938587247),34.24943975,-118.5171679,120
59,Northridge South,Northridge South,http://www.northridgesouth.org/,NSNC,2010-05-04T00:00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5289975667231 34.22686431821182),34.22686322,-118.5289979,124
60,Northridge West,Northridge West,http://www.northridgewest.org/,NWNC,2004-10-26T00:00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5494221063152 34.25432279457436),34.25432405,-118.549422,113
61,Northwest San Pedro,Northwest San Pedro,http://www.nwsanpedro.org/,NWSPNC,2002-02-12T00:00:00,12,REGION 12 - HARBOR,POINT (-118.3014618637792 33.75435298501034),33.75435496,-118.3014602,94
62,Olympic Park,Olympic Park,http://opnc.org/,OPNC,2003-12-02T00:00:00,6,REGION 6 - CENTRAL 2,POINT (-118.3256653201005 34.05132663727489),34.0513261,-118.3256657,104
63,P.I.C.O.,P.I.C.O.,http://piconc.com/,PICO,2002-03-12T00:00:00,5,REGION 5 - CENTRAL 1,POINT (-118.3630763743008 34.04959051589627),34.04959043,-118.3630762,60
64,Pacoima,Pacoima,http://pacoimanc.com/,PacoimaNC,2002-03-07T00:00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4104427845713 34.26587249489363),34.26587282,-118.4104428,7
65,Palms,Palms,http://palmsla.org/,PALMSNC,2004-12-14T00:00:00,11,REGION 11 - WEST LA,POINT (-118.4066489609371 34.02346348770288),34.02346356,-118.4066486,115
66,Panorama City,Panorama City,http://www.panoramacitync.org/,PCNC,2007-03-15T00:00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4455738730732 34.22437053862654),34.22437121,-118.4455746,100
67,Park Mesa Heights,Park Mesa Heights,http://www.pmhcc90043.org/Home.html,PMHCC,2002-03-23T00:00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.3300056362523 33.98593340952002),33.98593398,-118.3300055,80
68,Pico Union,Pico Union,http://www.picounionnc.org/,PUNC,2003-06-03T00:00:00,6,REGION 6 - CENTRAL 2,POINT (-118.2869861988439 34.04469810429748),34.04469806,-118.2869862,76
69,Porter Ranch,Porter Ranch,http://www.prnc.org/,PRNC,2003-07-01T00:00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.562215616158 34.28598487556995),34.2859843,-118.5622161,114
70,Rampart Village,Rampart Village,http://www.rvnc.org/,RVNC,2007-03-05T00:00:00,7,REGION 7 - EAST,POINT (-118.2847192597357 34.07088347324307),34.07088361,-118.2847193,53
71,Reseda,Reseda,http://www.resedacouncil.org/,RNC,2002-10-08T00:00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.5403533301718 34.20362401185736),34.20362451,-118.5403533,15
72,Sherman Oaks,Sherman Oaks,http://www.shermanoaksnc.org/,SONC,2002-10-29T00:00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.4432314293441 34.15133351797734),34.15133426,-118.443231,26
73,Silver Lake,Silver Lake,http://silverlakenc.org/,SLNC,2003-02-11T00:00:00,7,REGION 7 - EAST,POINT (-118.2691970982457 34.09313719570143),34.09313801,-118.2691961,38
74,South Central,South Central,https://www.southcentralnc.org/,SCNC,2003-06-24T00:00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2605488204562 34.01856723948038),34.01856711,-118.2605492,78
75,South Robertson,South Robertson,http://www.soronc.org/,SORONC,2002-08-13T00:00:00,11,REGION 11 - WEST LA,POINT (-118.3901134018774 34.04490947883532),34.04491007,-118.3901133,61
76,Studio City,Studio City,http://studiocitync.org/,SCNC,2002-10-29T00:00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.3925366215019 34.13963487514444),34.13963488,-118.3925371,27
77,Sun Valley Area,Sun Valley Area,http://svanc.org/,SVANC,2002-05-07T00:00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.3782324095869 34.22721767160239),34.22721806,-118.3782356,8
78,Sunland-Tujunga,Sunland-Tujunga,http://stnc.org/,STNC,2003-05-27T00:00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.2866666166133 34.2603659251053),34.260366,-118.2866652,10
79,Sylmar,Sylmar,http://www.sylmarneighborhoodcouncil.org/,SNC,2003-05-06T00:00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4485575662035 34.31291423045551),34.31291286,-118.4485591,5
80,Tarzana,Tarzana,http://www.tarzananc.org/,TNC,2003-01-14T00:00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.5473571788664 34.15824713342111),34.1582499,-118.5473562,17
81,UNNC,"United Neighborhoods Of The Historic Arlington Heights, West Adams, And Jefferson Park Community",http://www.unnc.org/index.html,UNNC,2002-05-14T00:00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.319530115848 34.03453663232251),34.03453703,-118.3195294,74
82,Valley Village,Valley Village,http://www.myvalleyvillage.com/,NCVV,2002-09-10T00:00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.3964306513365 34.16345622002988),34.16345619,-118.396431,25
83,Van Nuys,Van Nuys,http://www.vnnc.org/,VNNC,2002-07-23T00:00:00,4,REGION 4 - SOUTH EAST VALLEY,POINT (-118.4543316659152 34.19402890472718),34.19402999,-118.4543316,20
84,Venice,Venice,http://www.venicenc.org/,VNC,2002-03-12T00:00:00,11,REGION 11 - WEST LA,POINT (-118.4613984067937 33.99155093177755),33.99155165,-118.4613983,68
85,Voices,Voices Of 90037,https://www.voicesnc.org,VOICES,2008-06-16T00:00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2903494855091 33.99670591462755),33.99670659,-118.2903495,109
86,Watts,Watts,http://thewattsnc.com/,WATTS,2002-12-03T00:00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2415027599432 33.94026951079903),33.94026987,-118.2415027,88
87,West Adams,West Adams,http://www.westadamsnc.org/,WANC,2002-02-19T00:00:00,10,REGION 10 - SOUTH LA 1,POINT (-118.3538755305511 34.02735632587908),34.02735594,-118.3538756,75
88,West Hills,West Hills,http://www.westhillsnc.org/,WHNC,2002-01-22T00:00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.6360286128366 34.20987622944665),34.20987768,-118.6360267,11
89,West Los Angeles,West Los Angeles,http://www.wlanc.com/,WLANC,2003-10-07T00:00:00,11,REGION 11 - WEST LA,POINT (-118.4528695208101 34.03861048739904),34.03861056,-118.4528699,66
90,Westchester/Playa,Westchester/Playa,http://www.ncwpdr.org/,NCWP,2002-03-12T00:00:00,11,REGION 11 - WEST LA,POINT (-118.4084702842671 33.95407842664186),33.95407903,-118.4084697,71
91,Westlake North,Westlake North,https://www.westlakenorthnc.org,WNNC,2011-06-07T00:00:00,6,REGION 6 - CENTRAL 2,POINT (-118.2666925259844 34.06113926827859),34.0611393,-118.2666927,97
92,Westlake South,Westlake South,https://www.wsncla.org,WSNC,2011-06-07T00:00:00,6,REGION 6 - CENTRAL 2,POINT (-118.271875696698 34.05352414310207),34.05352424,-118.2718758,121
93,Westside,Westside,http://www.wncla.org/,WNC,2002-06-04T00:00:00,11,REGION 11 - WEST LA,POINT (-118.4208924824571 34.04326676500184),34.04326706,-118.4208925,62
94,Westwood,Westwood,http://www.wwnc.org/,WWNC,2010-01-19T00:00:00,11,REGION 11 - WEST LA,POINT (-118.4343530138543 34.06545025233254),34.06545057,-118.4343528,63
95,Wilmington,Wilmington,http://www.wilmingtonneighborhoodcouncil.com/,WILMINGTON,2001-12-11T00:00:00,12,REGION 12 - HARBOR,POINT (-118.2608253550639 33.77008189173235),33.77008619,-118.2608243,93
96,Wilshire Center - Koreatown,Wilshire Center - Koreatown,http://wcknc.org/,WCKNC,2003-08-05T00:00:00,6,REGION 6 - CENTRAL 2,POINT (-118.3007022194004 34.06686632993485),34.06686712,-118.3007023,55
97,Winnetka,Winnetka,http://www.winnetkanc.com/,WINNETKA,2003-07-22T00:00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.5759577742129 34.21026903490154),34.21027067,-118.575958,14
98,Woodland Hills-Warner Center,Woodland Hills-Warner Center,http://www.whcouncil.org/index.php,WHWCNC,2002-03-06T00:00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.6048554299391 34.16795005401535),34.1679494,-118.6048572,16
99,Zapata King,Zapata King,http://www.zapatakingnc.org/,ZKNC,2015-02-03T00:00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2686572983062 34.00020608721262),34.00020636,-118.2686573,125
