NAME,state,county,tract,GEO_ID,Total population
"Census Tract 4037.22, Los Angeles County, California",6,37,403722,1400000US06037403722,5144
"Census Tract 4038.01, Los Angeles County, California",6,37,403801,1400000US06037403801,5948
"Census Tract 4038.02, Los Angeles County, California",6,37,403802,1400000US06037403802,6813
"Census Tract 4039.01, Los Angeles County, California",6,37,403901,1400000US06037403901,2935
"Census Tract 4039.02, Los Angeles County, California",6,37,403902,1400000US06037403902,5274
"Census Tract 4040, Los Angeles County, California",6,37,404000,1400000US06037404000,4413
"Census Tract 4041, Los Angeles County, California",6,37,404100,1400000US06037404100,6087
"Census Tract 4042.01, Los Angeles County, California",6,37,404201,1400000US06037404201,3249
"Census Tract 4042.03, Los Angeles County, California",6,37,404203,1400000US06037404203,4370
"Census Tract 5546, Los Angeles County, California",6,37,554600,1400000US06037554600,4074
"Census Tract 5547, Los Angeles County, California",6,37,554700,1400000US06037554700,4112
"Census Tract 5548.01, Los Angeles County, California",6,37,554801,1400000US06037554801,2964
"Census Tract 5548.02, Los Angeles County, California",6,37,554802,1400000US06037554802,6201
"Census Tract 5549, Los Angeles County, California",6,37,554900,1400000US06037554900,7291
"Census Tract 5550.01, Los Angeles County, California",6,37,555001,1400000US06037555001,5215
"Census Tract 5550.02, Los Angeles County, California",6,37,555002,1400000US06037555002,3705
"Census Tract 5551.05, Los Angeles County, California",6,37,555105,1400000US06037555105,5667
"Census Tract 5551.06, Los Angeles County, California",6,37,555106,1400000US06037555106,2903
"Census Tract 5551.07, Los Angeles County, California",6,37,555107,1400000US06037555107,5990
"Census Tract 5552.02, Los Angeles County, California",6,37,555202,1400000US06037555202,3965
"Census Tract 5552.11, Los Angeles County, California",6,37,555211,1400000US06037555211,5835
"Census Tract 5552.12, Los Angeles County, California",6,37,555212,1400000US06037555212,5474
"Census Tract 5553, Los Angeles County, California",6,37,555300,1400000US06037555300,5195
"Census Tract 5700.01, Los Angeles County, California",6,37,570001,1400000US06037570001,5017
"Census Tract 5700.02, Los Angeles County, California",6,37,570002,1400000US06037570002,2501
"Census Tract 5700.03, Los Angeles County, California",6,37,570003,1400000US06037570003,4011
"Census Tract 5701, Los Angeles County, California",6,37,570100,1400000US06037570100,2982
"Census Tract 5702.02, Los Angeles County, California",6,37,570202,1400000US06037570202,6214
"Census Tract 5702.03, Los Angeles County, California",6,37,570203,1400000US06037570203,4069
"Census Tract 5702.04, Los Angeles County, California",6,37,570204,1400000US06037570204,4511
"Census Tract 5703.03, Los Angeles County, California",6,37,570303,1400000US06037570303,4552
"Census Tract 5703.04, Los Angeles County, California",6,37,570304,1400000US06037570304,4899
"Census Tract 5703.05, Los Angeles County, California",6,37,570305,1400000US06037570305,4060
"Census Tract 5703.06, Los Angeles County, California",6,37,570306,1400000US06037570306,2906
"Census Tract 5704.02, Los Angeles County, California",6,37,570402,1400000US06037570402,3376
"Census Tract 5704.03, Los Angeles County, California",6,37,570403,1400000US06037570403,4196
"Census Tract 5704.04, Los Angeles County, California",6,37,570404,1400000US06037570404,3980
"Census Tract 5705.02, Los Angeles County, California",6,37,570502,1400000US06037570502,6027
"Census Tract 5705.03, Los Angeles County, California",6,37,570503,1400000US06037570503,4624
"Census Tract 5705.04, Los Angeles County, California",6,37,570504,1400000US06037570504,3838
"Census Tract 5706.01, Los Angeles County, California",6,37,570601,1400000US06037570601,5925
"Census Tract 5706.02, Los Angeles County, California",6,37,570602,1400000US06037570602,5692
"Census Tract 5706.03, Los Angeles County, California",6,37,570603,1400000US06037570603,4964
"Census Tract 5707.01, Los Angeles County, California",6,37,570701,1400000US06037570701,7545
"Census Tract 5707.03, Los Angeles County, California",6,37,570703,1400000US06037570703,2826
"Census Tract 5708, Los Angeles County, California",6,37,570800,1400000US06037570800,5364
"Census Tract 5545.22, Los Angeles County, California",6,37,554522,1400000US06037554522,5104
"Census Tract 5709.01, Los Angeles County, California",6,37,570901,1400000US06037570901,5684
"Census Tract 5709.02, Los Angeles County, California",6,37,570902,1400000US06037570902,3395
"Census Tract 5710, Los Angeles County, California",6,37,571000,1400000US06037571000,5437
"Census Tract 5711.01, Los Angeles County, California",6,37,571101,1400000US06037571101,4922
"Census Tract 5711.02, Los Angeles County, California",6,37,571102,1400000US06037571102,3450
"Census Tract 2060.51, Los Angeles County, California",6,37,206051,1400000US06037206051,1405
"Census Tract 2060.52, Los Angeles County, California",6,37,206052,1400000US06037206052,2841
"Census Tract 2060.53, Los Angeles County, California",6,37,206053,1400000US06037206053,3014
"Census Tract 2060.54, Los Angeles County, California",6,37,206054,1400000US06037206054,2589
"Census Tract 2062.01, Los Angeles County, California",6,37,206201,1400000US06037206201,2154
"Census Tract 2062.02, Los Angeles County, California",6,37,206202,1400000US06037206202,1724
"Census Tract 2063.01, Los Angeles County, California",6,37,206301,1400000US06037206301,1867
"Census Tract 2063.02, Los Angeles County, California",6,37,206302,1400000US06037206302,2400
"Census Tract 2063.03, Los Angeles County, California",6,37,206303,1400000US06037206303,1989
"Census Tract 2071.01, Los Angeles County, California",6,37,207101,1400000US06037207101,3906
"Census Tract 2071.02, Los Angeles County, California",6,37,207102,1400000US06037207102,3181
"Census Tract 2071.03, Los Angeles County, California",6,37,207103,1400000US06037207103,2144
"Census Tract 2073.03, Los Angeles County, California",6,37,207303,1400000US06037207303,2187
"Census Tract 2073.04, Los Angeles County, California",6,37,207304,1400000US06037207304,2022
"Census Tract 2073.05, Los Angeles County, California",6,37,207305,1400000US06037207305,961
"Census Tract 2073.06, Los Angeles County, California",6,37,207306,1400000US06037207306,1863
"Census Tract 2073.07, Los Angeles County, California",6,37,207307,1400000US06037207307,1424
"Census Tract 2073.08, Los Angeles County, California",6,37,207308,1400000US06037207308,1323
"Census Tract 2074, Los Angeles County, California",6,37,207400,1400000US06037207400,1596
"Census Tract 2075.01, Los Angeles County, California",6,37,207501,1400000US06037207501,2133
"Census Tract 2075.02, Los Angeles County, California",6,37,207502,1400000US06037207502,3072
"Census Tract 2077.11, Los Angeles County, California",6,37,207711,1400000US06037207711,1661
"Census Tract 2077.12, Los Angeles County, California",6,37,207712,1400000US06037207712,3469
"Census Tract 2079.01, Los Angeles County, California",6,37,207901,1400000US06037207901,2582
"Census Tract 2079.02, Los Angeles County, California",6,37,207902,1400000US06037207902,5746
"Census Tract 2080.01, Los Angeles County, California",6,37,208001,1400000US06037208001,2410
"Census Tract 2080.02, Los Angeles County, California",6,37,208002,1400000US06037208002,4920
"Census Tract 2083.01, Los Angeles County, California",6,37,208301,1400000US06037208301,2101
"Census Tract 2083.02, Los Angeles County, California",6,37,208302,1400000US06037208302,5265
"Census Tract 2084.01, Los Angeles County, California",6,37,208401,1400000US06037208401,4619
"Census Tract 2084.02, Los Angeles County, California",6,37,208402,1400000US06037208402,2983
"Census Tract 2085.01, Los Angeles County, California",6,37,208501,1400000US06037208501,2462
"Census Tract 2085.02, Los Angeles County, California",6,37,208502,1400000US06037208502,4360
"Census Tract 2086.10, Los Angeles County, California",6,37,208610,1400000US06037208610,4388
"Census Tract 2086.20, Los Angeles County, California",6,37,208620,1400000US06037208620,4303
"Census Tract 2087.10, Los Angeles County, California",6,37,208710,1400000US06037208710,5136
"Census Tract 2087.20, Los Angeles County, California",6,37,208720,1400000US06037208720,3746
"Census Tract 2088.01, Los Angeles County, California",6,37,208801,1400000US06037208801,3284
"Census Tract 2088.02, Los Angeles County, California",6,37,208802,1400000US06037208802,3049
