request_id,srnumber,created_date,closed_date,type_id,agency_id,source_id,council_id,region_id,address,latitude,longitude,city_id
4440,1-1524250041,2020-01-02 12:38:00,2020-01-08 06:49:00,4,2,8,92,6,"730 S ALVARADO ST, 90057",34.05546256,-118.2772435,1
4441,1-1524250071,2020-01-02 12:38:00,2020-01-02 12:40:00,1,4,18,79,1,"GLENOAKS BLVD AT FOOTHILL BLVD, 91342",34.32299776,-118.4695337,7
4442,1-1524250141,2020-01-02 12:38:00,2020-01-04 10:09:00,4,2,8,88,3,"6434 N BOBBYBOYAR AVE, 91307",34.18744247,-118.6324049,12
4443,1-1524250255,2020-01-02 12:36:00,2020-01-02 12:40:00,6,2,18,96,6,"3440 W WILSHIRE BLVD, 90010",34.06150183,-118.2994833,10
4444,1-1524250343,2020-01-02 12:36:00,2020-01-02 12:40:00,6,2,18,33,5,"4016 W 7TH ST, 90005",34.05975974,-118.3150817,4
4445,1-1524250391,2020-01-02 12:36:00,2020-01-02 12:37:00,5,2,18,60,2,"19547 W SAN JOSE ST, 91326",34.26080456,-118.559536,12
4446,1-1524250481,2020-01-02 12:36:00,2020-01-03 13:25:00,4,2,8,44,3,"6444 N FORBES AVE, 91406",34.18807947,-118.4990383,6
4447,1-1524250771,2020-01-02 12:37:00,2020-01-03 15:25:00,4,2,8,23,9,"1638 W 79TH ST, 90047",33.96716879,-118.3060732,8
4448,1-1524250821,2020-01-02 12:38:00,2020-01-03 07:31:00,1,4,17,39,8,"BRIDEWELL ST AT SALONICA ST, 90042",34.11339156,-118.1768582,14
4449,1-1524250921,2020-01-02 12:38:00,2020-01-02 12:39:00,7,2,18,12,2,"19938 W LASSEN ST, 91311",34.24983751,-118.5683032,12
4450,1-1524250961,2020-01-02 12:38:00,2020-01-04 14:39:00,4,2,8,87,10,"2718 S COCHRAN AVE, 90016",34.02997743,-118.3593206,10
4451,1-1524251001,2020-01-02 12:38:00,2020-02-14 07:10:00,2,2,17,90,11,"415 E CULVER BLVD, 90293",33.96110038,-118.4460671,11
4452,1-1524251051,2020-01-02 12:39:00,2020-01-06 16:06:00,7,2,8,78,1,"9436 N HILLHAVEN AVE, 91042",34.24068718,-118.2928955,7
4453,1-1524251171,2020-01-02 12:40:00,2020-01-02 12:46:00,1,4,18,79,1,"ENCINITAS AVE AT ROXFORD ST, 91342",34.30382111,-118.4788737,7
4454,1-1524251322,2020-01-02 12:37:00,2020-01-07 17:11:00,4,2,7,21,10,"1815 W MARTIN LUTHER KING, JR BLVD, 90062",34.0109386,-118.311546,8
4455,1-1524251431,2020-01-02 12:37:00,2020-01-02 12:40:00,1,4,18,79,1,"13620 W FOOTHILL BLVD, 91342",34.30710667,-118.4302999,7
4456,1-1524251441,2020-01-02 12:37:00,2020-01-21 12:50:00,4,2,8,92,6,"730 S ALVARADO ST, 90057",34.05546256,-118.2772435,1
4457,1-1524251805,2020-01-02 12:39:00,2020-01-06 08:12:00,1,4,7,49,10,"6000 W VENICE BLVD, 90034",34.03716838,-118.3739262,10
4458,1-1524252054,2020-01-02 12:40:00,2020-01-06 14:37:00,6,2,7,24,10,"3848 S NICOLET AVE, 90008",34.01686583,-118.3504321,10
4459,1-1524253231,2020-01-02 12:37:00,2020-01-04 11:32:00,4,2,17,33,5,"5211 W 2ND ST, 90004",34.07190163,-118.3321391,4
